timestamp,release_tag,asset_name,download_count,created_at,size_bytes
2026-06-12T10:40:50Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-12T10:40:50Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-12T10:40:50Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-12T10:40:50Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-12T10:40:50Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-12T10:40:50Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-12T10:40:50Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-13T09:35:20Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-13T09:35:20Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-13T09:35:20Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-13T09:35:20Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-13T09:35:20Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-13T09:35:20Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-13T09:35:20Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-14T09:57:00Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-14T09:57:00Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-14T09:57:00Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-14T09:57:00Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-14T09:57:00Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-14T09:57:00Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-14T09:57:00Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-15T12:43:55Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-15T12:43:55Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-15T12:43:55Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-15T12:43:55Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-15T12:43:55Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-15T12:43:55Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-15T12:43:55Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-16T11:36:08Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-16T11:36:08Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-16T11:36:08Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-16T11:36:08Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-16T11:36:08Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-16T11:36:08Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-16T11:36:08Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-17T11:18:24Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-17T11:18:24Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-17T11:18:24Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-17T11:18:24Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-17T11:18:24Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-17T11:18:24Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-17T11:18:24Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-18T10:49:16Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-18T10:49:16Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-18T10:49:16Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-18T10:49:16Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-18T10:49:16Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-18T10:49:16Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-18T10:49:16Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-19T10:57:57Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-19T10:57:57Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-19T10:57:57Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-19T10:57:57Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-19T10:57:57Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-19T10:57:57Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-19T10:57:57Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-20T09:43:26Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-20T09:43:26Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-20T09:43:26Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-20T09:43:26Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-20T09:43:26Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-20T09:43:26Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-20T09:43:26Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-21T10:06:28Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-21T10:06:28Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-21T10:06:28Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-21T10:06:28Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
2026-06-21T10:06:28Z,v0.3,NexusOS-v0.3-os.bin,0,2026-06-04T22:52:39Z,1048576
2026-06-21T10:06:28Z,v0.2,NexusOS-v0.2-os.bin,0,2026-06-04T22:52:21Z,1048576
2026-06-21T10:06:28Z,v0.1,NexusOS-v0.1-os.bin,0,2026-06-04T22:51:57Z,1048576
2026-06-22T12:27:25Z,v0.5,NexusOS-v0.5-fat.img,1,2026-06-04T22:53:14Z,1474560
2026-06-22T12:27:25Z,v0.5,NexusOS-v0.5-os.bin,1,2026-06-04T22:53:14Z,1048576
2026-06-22T12:27:25Z,v0.4,NexusOS-v0.4-fat.img,0,2026-06-04T22:52:55Z,1474560
2026-06-22T12:27:25Z,v0.4,NexusOS-v0.4-os.bin,0,2026-06-04T22:52:55Z,1048576
